index, 0000000001, temp, 49.200, firstframe, 009.892, 16frames_time, 097.550, imgproc_time, 162.016, 
index, 0000000002, temp, 49.200, firstframe, 004.855, 16frames_time, 099.465, imgproc_time, 114.191, 
index, 0000000003, temp, 49.200, firstframe, 007.728, 16frames_time, 101.337, imgproc_time, 115.168, 
index, 0000000004, temp, 49.200, firstframe, 002.841, 16frames_time, 097.906, imgproc_time, 115.170, 
index, 0000000005, temp, 49.200, firstframe, 005.859, 16frames_time, 099.982, imgproc_time, 112.240, 
index, 0000000006, temp, 49.200, firstframe, 000.975, 16frames_time, 096.200, imgproc_time, 113.216, 
index, 0000000007, temp, 49.200, firstframe, 003.883, 16frames_time, 099.007, imgproc_time, 111.262, 
index, 0000000008, temp, 49.200, firstframe, 006.014, 16frames_time, 099.754, imgproc_time, 107.388, 
index, 0000000009, temp, 49.200, firstframe, 002.948, 16frames_time, 096.996, imgproc_time, 097.600, 
index, 0000000010, temp, 49.200, firstframe, 004.793, 16frames_time, 099.975, imgproc_time, 097.629, 
index, 0000000011, temp, 49.200, firstframe, 001.923, 16frames_time, 095.477, imgproc_time, 090.769, 
index, 0000000012, temp, 49.200, firstframe, 003.880, 16frames_time, 098.586, imgproc_time, 088.831, 
index, 0000000013, temp, 49.200, firstframe, 006.043, 16frames_time, 101.432, imgproc_time, 088.815, 
index, 0000000014, temp, 49.200, firstframe, 001.953, 16frames_time, 096.736, imgproc_time, 092.728, 
index, 0000000015, temp, 49.200, firstframe, 003.817, 16frames_time, 098.941, imgproc_time, 087.840, 
index, 0000000016, temp, 49.200, firstframe, 006.261, 16frames_time, 100.799, imgproc_time, 085.889, 
index, 0000000017, temp, 49.200, firstframe, 002.982, 16frames_time, 097.491, imgproc_time, 088.815, 
index, 0000000018, temp, 49.200, firstframe, 004.881, 16frames_time, 100.209, imgproc_time, 088.845, 
index, 0000000019, temp, 49.200, firstframe, 006.851, 16frames_time, 100.624, imgproc_time, 087.840, 
index, 0000000020, temp, 49.200, firstframe, 002.936, 16frames_time, 098.146, imgproc_time, 085.891, 
index, 0000000021, temp, 49.200, firstframe, 005.828, 16frames_time, 099.952, imgproc_time, 088.799, 
index, 0000000022, temp, 49.200, firstframe, 001.922, 16frames_time, 095.584, imgproc_time, 085.922, 
index, 0000000023, temp, 49.200, firstframe, 002.930, 16frames_time, 097.462, imgproc_time, 087.839, 
index, 0000000024, temp, 49.200, firstframe, 005.825, 16frames_time, 101.199, imgproc_time, 089.793, 
index, 0000000025, temp, 49.200, firstframe, 004.886, 16frames_time, 096.955, imgproc_time, 088.827, 
index, 0000000026, temp, 49.200, firstframe, 003.904, 16frames_time, 098.291, imgproc_time, 087.841, 
index, 0000000027, temp, 49.200, firstframe, 005.011, 16frames_time, 100.708, imgproc_time, 086.859, 
index, 0000000028, temp, 49.200, firstframe, 001.955, 16frames_time, 095.933, imgproc_time, 088.816, 
index, 0000000029, temp, 49.200, firstframe, 003.015, 16frames_time, 098.809, imgproc_time, 087.840, 
index, 0000000030, temp, 49.200, firstframe, 006.134, 16frames_time, 099.668, imgproc_time, 088.815, 
index, 0000000031, temp, 49.200, firstframe, 001.973, 16frames_time, 096.808, imgproc_time, 086.893, 
index, 0000000032, temp, 49.200, firstframe, 005.187, 16frames_time, 099.029, imgproc_time, 084.910, 
index, 0000000033, temp, 49.200, firstframe, 006.973, 16frames_time, 101.326, imgproc_time, 089.793, 
index, 0000000034, temp, 49.200, firstframe, 002.913, 16frames_time, 097.789, imgproc_time, 087.839, 
index, 0000000035, temp, 49.200, firstframe, 006.116, 16frames_time, 100.843, imgproc_time, 086.864, 
index, 0000000036, temp, 49.200, firstframe, 001.962, 16frames_time, 096.281, imgproc_time, 086.873, 
index, 0000000037, temp, 49.200, firstframe, 005.241, 16frames_time, 099.348, imgproc_time, 088.854, 
index, 0000000038, temp, 49.200, firstframe, 006.359, 16frames_time, 101.165, imgproc_time, 087.844, 
index, 0000000039, temp, 49.200, firstframe, 003.066, 16frames_time, 097.433, imgproc_time, 087.842, 
index, 0000000040, temp, 49.200, firstframe, 005.768, 16frames_time, 100.465, imgproc_time, 088.817, 
index, 0000000041, temp, 49.200, firstframe, 007.327, 16frames_time, 101.708, imgproc_time, 087.843, 
index, 0000000042, temp, 49.200, firstframe, 003.906, 16frames_time, 097.946, imgproc_time, 084.911, 
index, 0000000043, temp, 49.200, firstframe, 006.034, 16frames_time, 099.643, imgproc_time, 089.791, 
index, 0000000044, temp, 49.200, firstframe, 001.952, 16frames_time, 096.376, imgproc_time, 089.793, 
index, 0000000045, temp, 49.200, firstframe, 002.910, 16frames_time, 098.378, imgproc_time, 085.888, 
index, 0000000046, temp, 49.200, firstframe, 005.233, 16frames_time, 100.501, imgproc_time, 084.911, 
index, 0000000047, temp, 49.200, firstframe, 001.864, 16frames_time, 096.904, imgproc_time, 089.785, 
index, 0000000048, temp, 49.200, firstframe, 004.928, 16frames_time, 099.716, imgproc_time, 087.858, 
index, 0000000049, temp, 49.200, firstframe, 007.160, 16frames_time, 102.099, imgproc_time, 085.901, 
index, 0000000050, temp, 49.200, firstframe, 002.928, 16frames_time, 098.086, imgproc_time, 087.878, 
index, 0000000051, temp, 49.200, firstframe, 005.865, 16frames_time, 101.037, imgproc_time, 086.837, 
index, 0000000052, temp, 49.200, firstframe, 001.864, 16frames_time, 095.850, imgproc_time, 086.863, 
index, 0000000053, temp, 49.200, firstframe, 003.903, 16frames_time, 098.231, imgproc_time, 086.864, 
index, 0000000054, temp, 49.200, firstframe, 006.114, 16frames_time, 100.071, imgproc_time, 085.917, 
index, 0000000055, temp, 49.200, firstframe, 001.863, 16frames_time, 096.117, imgproc_time, 084.913, 
