index, 0000000001, temp, 49.700, firstframe, 009.762, 16frames_time, 095.648, imgproc_time, 196.177, 
index, 0000000002, temp, 49.700, firstframe, 005.857, 16frames_time, 100.529, imgproc_time, 149.327, 
index, 0000000003, temp, 49.700, firstframe, 002.907, 16frames_time, 096.691, imgproc_time, 136.639, 
index, 0000000004, temp, 49.700, firstframe, 003.818, 16frames_time, 098.314, imgproc_time, 137.615, 
index, 0000000005, temp, 49.700, firstframe, 005.085, 16frames_time, 099.514, imgproc_time, 132.735, 
index, 0000000006, temp, 49.700, firstframe, 006.790, 16frames_time, 101.637, imgproc_time, 139.567, 
index, 0000000007, temp, 49.700, firstframe, 002.840, 16frames_time, 097.246, imgproc_time, 126.880, 
index, 0000000008, temp, 49.700, firstframe, 004.064, 16frames_time, 098.968, imgproc_time, 121.059, 
index, 0000000009, temp, 49.700, firstframe, 006.147, 16frames_time, 100.354, imgproc_time, 117.121, 
index, 0000000010, temp, 49.700, firstframe, 007.228, 16frames_time, 101.331, imgproc_time, 122.000, 
index, 0000000011, temp, 49.700, firstframe, 001.959, 16frames_time, 095.928, imgproc_time, 116.184, 
index, 0000000012, temp, 49.700, firstframe, 003.029, 16frames_time, 097.303, imgproc_time, 116.143, 
index, 0000000013, temp, 49.700, firstframe, 004.049, 16frames_time, 098.557, imgproc_time, 114.195, 
index, 0000000014, temp, 49.700, firstframe, 005.182, 16frames_time, 099.140, imgproc_time, 108.377, 
index, 0000000015, temp, 49.700, firstframe, 006.174, 16frames_time, 101.126, imgproc_time, 108.335, 
index, 0000000016, temp, 49.700, firstframe, 001.936, 16frames_time, 096.333, imgproc_time, 109.312, 
index, 0000000017, temp, 49.700, firstframe, 003.819, 16frames_time, 097.597, imgproc_time, 108.350, 
index, 0000000018, temp, 49.700, firstframe, 005.303, 16frames_time, 098.827, imgproc_time, 107.361, 
index, 0000000019, temp, 49.700, firstframe, 007.000, 16frames_time, 101.064, imgproc_time, 106.383, 
index, 0000000020, temp, 49.700, firstframe, 001.955, 16frames_time, 096.355, imgproc_time, 110.290, 
index, 0000000021, temp, 49.700, firstframe, 003.946, 16frames_time, 098.207, imgproc_time, 109.351, 
index, 0000000022, temp, 49.700, firstframe, 004.783, 16frames_time, 100.532, imgproc_time, 105.407, 
index, 0000000023, temp, 49.700, firstframe, 006.902, 16frames_time, 101.648, imgproc_time, 108.337, 
index, 0000000024, temp, 49.700, firstframe, 001.953, 16frames_time, 095.625, imgproc_time, 104.432, 
index, 0000000025, temp, 49.700, firstframe, 002.928, 16frames_time, 097.174, imgproc_time, 106.386, 
index, 0000000026, temp, 49.700, firstframe, 004.978, 16frames_time, 099.284, imgproc_time, 110.303, 
index, 0000000027, temp, 49.700, firstframe, 006.002, 16frames_time, 100.461, imgproc_time, 106.416, 
index, 0000000028, temp, 49.700, firstframe, 001.923, 16frames_time, 096.575, imgproc_time, 105.407, 
index, 0000000029, temp, 49.700, firstframe, 005.041, 16frames_time, 098.227, imgproc_time, 105.407, 
index, 0000000030, temp, 49.700, firstframe, 004.882, 16frames_time, 099.712, imgproc_time, 106.383, 
index, 0000000031, temp, 49.700, firstframe, 006.476, 16frames_time, 100.894, imgproc_time, 108.335, 
index, 0000000032, temp, 49.700, firstframe, 001.972, 16frames_time, 096.441, imgproc_time, 107.360, 
index, 0000000033, temp, 49.700, firstframe, 003.812, 16frames_time, 098.888, imgproc_time, 106.384, 
index, 0000000034, temp, 49.700, firstframe, 006.188, 16frames_time, 101.007, imgproc_time, 104.431, 
index, 0000000035, temp, 49.700, firstframe, 006.987, 16frames_time, 101.662, imgproc_time, 104.443, 
index, 0000000036, temp, 49.700, firstframe, 002.946, 16frames_time, 096.536, imgproc_time, 108.362, 
index, 0000000037, temp, 49.700, firstframe, 005.184, 16frames_time, 098.957, imgproc_time, 106.413, 
index, 0000000038, temp, 49.700, firstframe, 005.909, 16frames_time, 100.496, imgproc_time, 108.336, 
index, 0000000039, temp, 49.700, firstframe, 007.293, 16frames_time, 101.239, imgproc_time, 107.359, 
index, 0000000040, temp, 49.700, firstframe, 001.924, 16frames_time, 095.933, imgproc_time, 107.360, 
index, 0000000041, temp, 49.700, firstframe, 002.940, 16frames_time, 097.885, imgproc_time, 108.335, 
index, 0000000042, temp, 49.700, firstframe, 005.077, 16frames_time, 100.488, imgproc_time, 108.308, 
index, 0000000043, temp, 49.700, firstframe, 006.069, 16frames_time, 101.342, imgproc_time, 107.360, 
index, 0000000044, temp, 49.700, firstframe, 001.955, 16frames_time, 096.632, imgproc_time, 110.289, 
index, 0000000045, temp, 49.700, firstframe, 002.928, 16frames_time, 098.308, imgproc_time, 117.121, 
index, 0000000046, temp, 49.700, firstframe, 003.838, 16frames_time, 098.904, imgproc_time, 110.287, 
index, 0000000047, temp, 49.700, firstframe, 005.781, 16frames_time, 100.258, imgproc_time, 107.360, 
index, 0000000048, temp, 49.700, firstframe, 006.878, 16frames_time, 102.340, imgproc_time, 106.381, 
index, 0000000049, temp, 49.700, firstframe, 002.835, 16frames_time, 096.738, imgproc_time, 107.358, 
index, 0000000050, temp, 49.700, firstframe, 003.875, 16frames_time, 098.792, imgproc_time, 108.336, 
index, 0000000051, temp, 49.700, firstframe, 005.905, 16frames_time, 099.775, imgproc_time, 112.243, 
index, 0000000052, temp, 49.700, firstframe, 007.055, 16frames_time, 101.450, imgproc_time, 106.403, 
index, 0000000053, temp, 49.700, firstframe, 001.862, 16frames_time, 097.125, imgproc_time, 107.355, 
index, 0000000054, temp, 49.700, firstframe, 003.907, 16frames_time, 098.111, imgproc_time, 105.406, 
index, 0000000055, temp, 49.700, firstframe, 006.053, 16frames_time, 100.610, imgproc_time, 108.335, 
index, 0000000056, temp, 49.700, firstframe, 006.832, 16frames_time, 101.979, imgproc_time, 109.311, 
index, 0000000057, temp, 49.700, firstframe, 001.955, 16frames_time, 096.805, imgproc_time, 103.455, 
index, 0000000058, temp, 49.700, firstframe, 002.931, 16frames_time, 097.318, imgproc_time, 107.362, 
index, 0000000059, temp, 49.700, firstframe, 005.048, 16frames_time, 098.771, imgproc_time, 106.384, 
index, 0000000060, temp, 49.700, firstframe, 007.118, 16frames_time, 101.560, imgproc_time, 109.314, 
index, 0000000061, temp, 49.700, firstframe, 001.921, 16frames_time, 096.033, imgproc_time, 105.406, 
index, 0000000062, temp, 49.700, firstframe, 002.928, 16frames_time, 097.831, imgproc_time, 104.433, 
index, 0000000063, temp, 49.700, firstframe, 003.981, 16frames_time, 098.808, imgproc_time, 109.274, 
index, 0000000064, temp, 49.700, firstframe, 005.967, 16frames_time, 101.673, imgproc_time, 107.342, 
index, 0000000065, temp, 49.700, firstframe, 006.014, 16frames_time, 100.931, imgproc_time, 106.411, 
index, 0000000066, temp, 49.700, firstframe, 004.782, 16frames_time, 096.995, imgproc_time, 104.466, 
index, 0000000067, temp, 49.700, firstframe, 003.143, 16frames_time, 098.217, imgproc_time, 103.462, 
index, 0000000068, temp, 49.700, firstframe, 004.912, 16frames_time, 099.779, imgproc_time, 104.432, 
index, 0000000069, temp, 49.700, firstframe, 006.051, 16frames_time, 100.884, imgproc_time, 103.455, 
index, 0000000070, temp, 49.700, firstframe, 001.952, 16frames_time, 096.119, imgproc_time, 107.359, 
index, 0000000071, temp, 49.700, firstframe, 003.054, 16frames_time, 098.485, imgproc_time, 103.456, 
index, 0000000072, temp, 49.700, firstframe, 004.869, 16frames_time, 099.742, imgproc_time, 106.412, 
index, 0000000073, temp, 49.700, firstframe, 006.802, 16frames_time, 100.891, imgproc_time, 105.405, 
index, 0000000074, temp, 49.700, firstframe, 001.955, 16frames_time, 096.371, imgproc_time, 109.312, 
index, 0000000075, temp, 49.700, firstframe, 003.930, 16frames_time, 098.622, imgproc_time, 107.393, 
index, 0000000076, temp, 49.700, firstframe, 004.880, 16frames_time, 100.086, imgproc_time, 106.386, 
index, 0000000077, temp, 49.700, firstframe, 006.976, 16frames_time, 102.005, imgproc_time, 107.324, 
index, 0000000078, temp, 49.700, firstframe, 001.863, 16frames_time, 096.775, imgproc_time, 110.304, 
index, 0000000079, temp, 49.700, firstframe, 003.925, 16frames_time, 097.874, imgproc_time, 107.388, 
index, 0000000080, temp, 49.700, firstframe, 005.142, 16frames_time, 099.268, imgproc_time, 111.263, 
index, 0000000081, temp, 49.700, firstframe, 006.832, 16frames_time, 101.944, imgproc_time, 105.409, 
index, 0000000082, temp, 49.700, firstframe, 001.954, 16frames_time, 096.784, imgproc_time, 106.383, 
index, 0000000083, temp, 49.700, firstframe, 003.808, 16frames_time, 098.486, imgproc_time, 108.339, 
index, 0000000084, temp, 49.700, firstframe, 006.123, 16frames_time, 100.884, imgproc_time, 112.239, 
index, 0000000085, temp, 49.700, firstframe, 001.951, 16frames_time, 096.327, imgproc_time, 110.287, 
index, 0000000086, temp, 49.700, firstframe, 003.966, 16frames_time, 098.254, imgproc_time, 107.394, 
index, 0000000087, temp, 49.700, firstframe, 005.835, 16frames_time, 100.151, imgproc_time, 107.360, 
index, 0000000088, temp, 49.700, firstframe, 007.299, 16frames_time, 102.238, imgproc_time, 109.349, 
index, 0000000089, temp, 49.700, firstframe, 002.992, 16frames_time, 097.146, imgproc_time, 104.494, 
index, 0000000090, temp, 49.700, firstframe, 003.907, 16frames_time, 098.267, imgproc_time, 107.394, 
index, 0000000091, temp, 49.700, firstframe, 005.043, 16frames_time, 100.526, imgproc_time, 110.316, 
index, 0000000092, temp, 49.700, firstframe, 005.962, 16frames_time, 100.975, imgproc_time, 107.363, 
index, 0000000093, temp, 49.700, firstframe, 006.366, 16frames_time, 101.505, imgproc_time, 106.384, 
index, 0000000094, temp, 49.700, firstframe, 002.018, 16frames_time, 097.239, imgproc_time, 106.414, 
index, 0000000095, temp, 49.700, firstframe, 003.871, 16frames_time, 098.610, imgproc_time, 107.359, 
index, 0000000096, temp, 49.700, firstframe, 006.014, 16frames_time, 099.755, imgproc_time, 105.407, 
index, 0000000097, temp, 49.700, firstframe, 006.835, 16frames_time, 101.794, imgproc_time, 102.479, 
index, 0000000098, temp, 49.700, firstframe, 001.924, 16frames_time, 096.334, imgproc_time, 102.496, 
index, 0000000099, temp, 49.700, firstframe, 002.932, 16frames_time, 098.014, imgproc_time, 106.387, 
index, 0000000100, temp, 49.700, firstframe, 005.859, 16frames_time, 100.462, imgproc_time, 107.383, 
index, 0000000101, temp, 49.700, firstframe, 006.971, 16frames_time, 101.466, imgproc_time, 106.392, 
index, 0000000102, temp, 49.700, firstframe, 002.967, 16frames_time, 095.353, imgproc_time, 103.456, 
index, 0000000103, temp, 49.700, firstframe, 003.903, 16frames_time, 098.246, imgproc_time, 103.472, 
index, 0000000104, temp, 49.700, firstframe, 007.847, 16frames_time, 098.829, imgproc_time, 103.455, 
index, 0000000105, temp, 49.700, firstframe, 006.126, 16frames_time, 100.029, imgproc_time, 104.465, 
index, 0000000106, temp, 49.700, firstframe, 007.244, 16frames_time, 102.384, imgproc_time, 106.386, 
index, 0000000107, temp, 49.700, firstframe, 003.159, 16frames_time, 097.959, imgproc_time, 104.433, 
index, 0000000108, temp, 49.700, firstframe, 005.222, 16frames_time, 099.791, imgproc_time, 102.512, 
index, 0000000109, temp, 49.700, firstframe, 006.451, 16frames_time, 101.465, imgproc_time, 106.529, 
index, 0000000110, temp, 49.700, firstframe, 001.955, 16frames_time, 096.043, imgproc_time, 105.407, 
index, 0000000111, temp, 49.700, firstframe, 002.928, 16frames_time, 096.985, imgproc_time, 104.469, 
index, 0000000112, temp, 49.700, firstframe, 005.069, 16frames_time, 099.591, imgproc_time, 103.456, 
index, 0000000113, temp, 49.700, firstframe, 006.834, 16frames_time, 101.156, imgproc_time, 107.360, 
index, 0000000114, temp, 49.700, firstframe, 001.855, 16frames_time, 097.229, imgproc_time, 107.331, 
index, 0000000115, temp, 49.700, firstframe, 003.848, 16frames_time, 098.531, imgproc_time, 108.345, 
index, 0000000116, temp, 49.700, firstframe, 004.885, 16frames_time, 098.865, imgproc_time, 108.338, 
index, 0000000117, temp, 49.700, firstframe, 007.197, 16frames_time, 101.000, imgproc_time, 106.396, 
index, 0000000118, temp, 49.700, firstframe, 001.955, 16frames_time, 096.551, imgproc_time, 107.359, 
index, 0000000119, temp, 49.700, firstframe, 003.850, 16frames_time, 098.586, imgproc_time, 110.319, 
index, 0000000120, temp, 49.700, firstframe, 003.950, 16frames_time, 098.880, imgproc_time, 110.288, 
index, 0000000121, temp, 49.700, firstframe, 006.096, 16frames_time, 099.993, imgproc_time, 110.287, 
index, 0000000122, temp, 49.700, firstframe, 006.265, 16frames_time, 100.192, imgproc_time, 107.360, 
index, 0000000123, temp, 49.700, firstframe, 001.897, 16frames_time, 096.423, imgproc_time, 109.313, 
index, 0000000124, temp, 49.700, firstframe, 002.958, 16frames_time, 098.044, imgproc_time, 108.335, 
index, 0000000125, temp, 49.700, firstframe, 005.808, 16frames_time, 099.585, imgproc_time, 108.336, 
index, 0000000126, temp, 49.700, firstframe, 007.020, 16frames_time, 102.091, imgproc_time, 108.338, 
index, 0000000127, temp, 49.700, firstframe, 001.951, 16frames_time, 096.107, imgproc_time, 108.370, 
index, 0000000128, temp, 49.700, firstframe, 002.928, 16frames_time, 097.465, imgproc_time, 104.460, 
index, 0000000129, temp, 49.700, firstframe, 005.046, 16frames_time, 099.044, imgproc_time, 109.313, 
index, 0000000130, temp, 49.700, firstframe, 005.951, 16frames_time, 100.888, imgproc_time, 108.335, 
index, 0000000131, temp, 49.700, firstframe, 007.315, 16frames_time, 101.117, imgproc_time, 105.433, 
index, 0000000132, temp, 49.700, firstframe, 001.918, 16frames_time, 096.253, imgproc_time, 104.460, 
index, 0000000133, temp, 49.700, firstframe, 003.906, 16frames_time, 097.429, imgproc_time, 106.339, 
index, 0000000134, temp, 49.700, firstframe, 005.821, 16frames_time, 099.755, imgproc_time, 103.457, 
index, 0000000135, temp, 49.700, firstframe, 007.140, 16frames_time, 101.278, imgproc_time, 108.336, 
index, 0000000136, temp, 49.700, firstframe, 001.855, 16frames_time, 096.446, imgproc_time, 104.431, 
index, 0000000137, temp, 49.700, firstframe, 003.933, 16frames_time, 098.429, imgproc_time, 105.411, 
index, 0000000138, temp, 49.700, firstframe, 005.858, 16frames_time, 100.377, imgproc_time, 103.471, 
index, 0000000139, temp, 49.700, firstframe, 007.008, 16frames_time, 101.673, imgproc_time, 103.459, 
index, 0000000140, temp, 49.700, firstframe, 002.982, 16frames_time, 097.590, imgproc_time, 103.484, 
index, 0000000141, temp, 49.700, firstframe, 004.072, 16frames_time, 098.485, imgproc_time, 104.434, 
index, 0000000142, temp, 49.700, firstframe, 005.097, 16frames_time, 100.758, imgproc_time, 104.435, 
index, 0000000143, temp, 49.700, firstframe, 007.243, 16frames_time, 101.272, imgproc_time, 103.467, 
index, 0000000144, temp, 49.700, firstframe, 005.096, 16frames_time, 096.941, imgproc_time, 101.505, 
index, 0000000145, temp, 49.700, firstframe, 004.167, 16frames_time, 098.702, imgproc_time, 102.480, 
index, 0000000146, temp, 49.700, firstframe, 005.250, 16frames_time, 099.916, imgproc_time, 107.358, 
index, 0000000147, temp, 49.700, firstframe, 006.265, 16frames_time, 101.701, imgproc_time, 104.466, 
index, 0000000148, temp, 49.700, firstframe, 001.951, 16frames_time, 096.298, imgproc_time, 102.489, 
index, 0000000149, temp, 49.700, firstframe, 002.868, 16frames_time, 097.899, imgproc_time, 106.357, 
index, 0000000150, temp, 49.700, firstframe, 003.816, 16frames_time, 098.178, imgproc_time, 104.391, 
index, 0000000151, temp, 49.700, firstframe, 005.017, 16frames_time, 100.697, imgproc_time, 106.383, 
index, 0000000152, temp, 49.700, firstframe, 007.007, 16frames_time, 101.683, imgproc_time, 106.412, 
index, 0000000153, temp, 49.700, firstframe, 001.857, 16frames_time, 096.274, imgproc_time, 106.382, 
index, 0000000154, temp, 49.700, firstframe, 003.975, 16frames_time, 098.125, imgproc_time, 106.373, 
index, 0000000155, temp, 49.700, firstframe, 005.161, 16frames_time, 099.860, imgproc_time, 113.215, 
index, 0000000156, temp, 49.700, firstframe, 007.261, 16frames_time, 101.266, imgproc_time, 111.267, 
index, 0000000157, temp, 49.700, firstframe, 002.831, 16frames_time, 097.322, imgproc_time, 109.311, 
index, 0000000158, temp, 49.700, firstframe, 004.140, 16frames_time, 098.770, imgproc_time, 106.445, 
index, 0000000159, temp, 49.700, firstframe, 006.101, 16frames_time, 100.915, imgproc_time, 108.343, 
index, 0000000160, temp, 49.700, firstframe, 004.792, 16frames_time, 099.347, imgproc_time, 107.359, 
index, 0000000161, temp, 49.700, firstframe, 006.918, 16frames_time, 101.643, imgproc_time, 110.177, 
index, 0000000162, temp, 49.700, firstframe, 001.937, 16frames_time, 096.458, imgproc_time, 110.289, 
index, 0000000163, temp, 49.700, firstframe, 003.112, 16frames_time, 097.219, imgproc_time, 107.363, 
index, 0000000164, temp, 49.700, firstframe, 005.068, 16frames_time, 099.947, imgproc_time, 108.362, 
index, 0000000165, temp, 49.700, firstframe, 006.008, 16frames_time, 100.582, imgproc_time, 107.359, 
index, 0000000166, temp, 49.700, firstframe, 006.835, 16frames_time, 101.875, imgproc_time, 109.311, 
index, 0000000167, temp, 49.700, firstframe, 001.863, 16frames_time, 096.057, imgproc_time, 105.441, 
index, 0000000168, temp, 49.700, firstframe, 003.873, 16frames_time, 098.292, imgproc_time, 105.411, 
index, 0000000169, temp, 49.700, firstframe, 005.390, 16frames_time, 100.325, imgproc_time, 106.383, 
index, 0000000170, temp, 49.700, firstframe, 007.375, 16frames_time, 101.719, imgproc_time, 104.431, 
index, 0000000171, temp, 49.700, firstframe, 001.864, 16frames_time, 097.089, imgproc_time, 107.359, 
index, 0000000172, temp, 49.700, firstframe, 003.979, 16frames_time, 098.120, imgproc_time, 105.444, 
index, 0000000173, temp, 49.700, firstframe, 004.840, 16frames_time, 099.314, imgproc_time, 103.454, 
index, 0000000174, temp, 49.700, firstframe, 007.094, 16frames_time, 101.397, imgproc_time, 114.192, 
index, 0000000175, temp, 49.700, firstframe, 002.011, 16frames_time, 096.693, imgproc_time, 104.458, 
index, 0000000176, temp, 49.700, firstframe, 003.965, 16frames_time, 098.873, imgproc_time, 108.338, 
index, 0000000177, temp, 49.700, firstframe, 005.886, 16frames_time, 100.680, imgproc_time, 106.384, 
index, 0000000178, temp, 49.700, firstframe, 005.851, 16frames_time, 100.662, imgproc_time, 104.460, 
index, 0000000179, temp, 49.700, firstframe, 004.788, 16frames_time, 096.623, imgproc_time, 105.407, 
index, 0000000180, temp, 49.700, firstframe, 003.953, 16frames_time, 098.093, imgproc_time, 104.432, 
index, 0000000181, temp, 49.700, firstframe, 006.113, 16frames_time, 100.439, imgproc_time, 106.381, 
index, 0000000182, temp, 49.700, firstframe, 006.988, 16frames_time, 102.275, imgproc_time, 103.472, 
index, 0000000183, temp, 49.700, firstframe, 001.855, 16frames_time, 096.732, imgproc_time, 103.472, 
index, 0000000184, temp, 49.700, firstframe, 003.148, 16frames_time, 098.219, imgproc_time, 102.478, 
index, 0000000185, temp, 49.700, firstframe, 005.180, 16frames_time, 100.165, imgproc_time, 103.456, 
index, 0000000186, temp, 49.700, firstframe, 007.232, 16frames_time, 101.146, imgproc_time, 105.409, 
index, 0000000187, temp, 49.700, firstframe, 001.955, 16frames_time, 096.300, imgproc_time, 109.318, 
index, 0000000188, temp, 49.700, firstframe, 003.145, 16frames_time, 097.796, imgproc_time, 103.455, 
index, 0000000189, temp, 49.700, firstframe, 004.061, 16frames_time, 098.956, imgproc_time, 103.435, 
index, 0000000190, temp, 49.700, firstframe, 005.194, 16frames_time, 100.682, imgproc_time, 104.431, 
index, 0000000191, temp, 49.700, firstframe, 007.122, 16frames_time, 102.063, imgproc_time, 105.410, 
index, 0000000192, temp, 49.700, firstframe, 001.915, 16frames_time, 096.329, imgproc_time, 114.204, 
index, 0000000193, temp, 49.700, firstframe, 003.975, 16frames_time, 097.889, imgproc_time, 108.335, 
index, 0000000194, temp, 49.700, firstframe, 005.147, 16frames_time, 098.865, imgproc_time, 114.229, 
index, 0000000195, temp, 49.700, firstframe, 005.935, 16frames_time, 100.835, imgproc_time, 108.362, 
index, 0000000196, temp, 49.700, firstframe, 001.856, 16frames_time, 095.911, imgproc_time, 111.263, 
index, 0000000197, temp, 49.700, firstframe, 003.927, 16frames_time, 097.011, imgproc_time, 112.273, 
index, 0000000198, temp, 49.700, firstframe, 004.044, 16frames_time, 098.632, imgproc_time, 106.383, 
index, 0000000199, temp, 49.700, firstframe, 005.855, 16frames_time, 100.159, imgproc_time, 106.383, 
index, 0000000200, temp, 49.700, firstframe, 006.322, 16frames_time, 101.039, imgproc_time, 106.386, 
index, 0000000201, temp, 49.700, firstframe, 001.949, 16frames_time, 097.048, imgproc_time, 109.311, 
index, 0000000202, temp, 49.700, firstframe, 004.160, 16frames_time, 098.243, imgproc_time, 104.431, 
index, 0000000203, temp, 49.700, firstframe, 005.857, 16frames_time, 100.739, imgproc_time, 104.435, 
index, 0000000204, temp, 49.700, firstframe, 006.807, 16frames_time, 101.700, imgproc_time, 104.433, 
index, 0000000205, temp, 49.700, firstframe, 002.928, 16frames_time, 097.600, imgproc_time, 104.434, 
index, 0000000206, temp, 49.700, firstframe, 004.993, 16frames_time, 098.447, imgproc_time, 106.383, 
index, 0000000207, temp, 49.700, firstframe, 006.832, 16frames_time, 101.195, imgproc_time, 102.482, 
index, 0000000208, temp, 49.700, firstframe, 001.952, 16frames_time, 095.628, imgproc_time, 103.477, 
index, 0000000209, temp, 49.700, firstframe, 003.967, 16frames_time, 098.195, imgproc_time, 107.633, 
index, 0000000210, temp, 49.700, firstframe, 004.880, 16frames_time, 099.542, imgproc_time, 105.407, 
index, 0000000211, temp, 49.700, firstframe, 006.385, 16frames_time, 101.189, imgproc_time, 106.384, 
index, 0000000212, temp, 49.700, firstframe, 001.952, 16frames_time, 095.725, imgproc_time, 107.362, 
index, 0000000213, temp, 49.700, firstframe, 002.988, 16frames_time, 096.945, imgproc_time, 104.436, 
index, 0000000214, temp, 49.700, firstframe, 005.172, 16frames_time, 099.178, imgproc_time, 103.455, 
index, 0000000215, temp, 49.700, firstframe, 005.780, 16frames_time, 100.446, imgproc_time, 104.462, 
index, 0000000216, temp, 49.700, firstframe, 007.415, 16frames_time, 101.655, imgproc_time, 108.355, 
index, 0000000217, temp, 49.700, firstframe, 004.081, 16frames_time, 096.991, imgproc_time, 104.435, 
index, 0000000218, temp, 49.700, firstframe, 002.931, 16frames_time, 097.655, imgproc_time, 104.432, 
index, 0000000219, temp, 49.700, firstframe, 005.134, 16frames_time, 100.024, imgproc_time, 105.407, 
index, 0000000220, temp, 49.700, firstframe, 006.026, 16frames_time, 101.326, imgproc_time, 106.382, 
index, 0000000221, temp, 49.700, firstframe, 001.955, 16frames_time, 096.057, imgproc_time, 110.288, 
index, 0000000222, temp, 49.700, firstframe, 003.037, 16frames_time, 097.510, imgproc_time, 107.359, 
index, 0000000223, temp, 49.700, firstframe, 003.976, 16frames_time, 098.968, imgproc_time, 108.365, 
index, 0000000224, temp, 49.700, firstframe, 004.924, 16frames_time, 100.418, imgproc_time, 108.338, 
index, 0000000225, temp, 49.700, firstframe, 006.832, 16frames_time, 101.027, imgproc_time, 107.446, 
index, 0000000226, temp, 49.700, firstframe, 002.023, 16frames_time, 096.388, imgproc_time, 109.310, 
index, 0000000227, temp, 49.700, firstframe, 002.997, 16frames_time, 097.079, imgproc_time, 106.412, 
index, 0000000228, temp, 49.700, firstframe, 003.907, 16frames_time, 099.004, imgproc_time, 104.434, 
index, 0000000229, temp, 49.700, firstframe, 005.225, 16frames_time, 101.067, imgproc_time, 105.439, 
index, 0000000230, temp, 49.700, firstframe, 006.809, 16frames_time, 102.007, imgproc_time, 110.288, 
index, 0000000231, temp, 49.700, firstframe, 001.935, 16frames_time, 096.595, imgproc_time, 110.288, 
index, 0000000232, temp, 49.700, firstframe, 003.946, 16frames_time, 097.861, imgproc_time, 104.435, 
index, 0000000233, temp, 49.700, firstframe, 004.859, 16frames_time, 099.793, imgproc_time, 103.455, 
index, 0000000234, temp, 49.700, firstframe, 006.852, 16frames_time, 100.999, imgproc_time, 104.431, 
index, 0000000235, temp, 49.700, firstframe, 002.928, 16frames_time, 095.816, imgproc_time, 104.431, 
index, 0000000236, temp, 49.700, firstframe, 003.036, 16frames_time, 097.835, imgproc_time, 109.270, 
