index, 0000000001, temp, 62.500, firstframe, 029.920, 16frames_time, 082.778, imgproc_time, 186.500, 
index, 0000000002, temp, 62.500, firstframe, 001.996, 16frames_time, 107.716, imgproc_time, 074.800, 
index, 0000000003, temp, 62.500, firstframe, 003.989, 16frames_time, 098.736, imgproc_time, 071.809, 
index, 0000000004, temp, 62.500, firstframe, 004.989, 16frames_time, 098.736, imgproc_time, 049.867, 
index, 0000000005, temp, 62.500, firstframe, 005.986, 16frames_time, 100.731, imgproc_time, 041.887, 
index, 0000000006, temp, 62.500, firstframe, 001.994, 16frames_time, 098.735, imgproc_time, 064.827, 
index, 0000000007, temp, 62.500, firstframe, 002.992, 16frames_time, 096.742, imgproc_time, 063.830, 
index, 0000000008, temp, 62.500, firstframe, 003.990, 16frames_time, 098.736, imgproc_time, 055.852, 
index, 0000000009, temp, 62.500, firstframe, 005.987, 16frames_time, 099.735, imgproc_time, 059.841, 
index, 0000000010, temp, 62.500, firstframe, 005.986, 16frames_time, 096.515, imgproc_time, 031.914, 
index, 0000000011, temp, 62.500, firstframe, 002.942, 16frames_time, 095.995, imgproc_time, 039.891, 
index, 0000000012, temp, 62.500, firstframe, 002.988, 16frames_time, 096.363, imgproc_time, 037.901, 
index, 0000000013, temp, 62.500, firstframe, 004.984, 16frames_time, 099.028, imgproc_time, 028.812, 
index, 0000000014, temp, 62.500, firstframe, 005.104, 16frames_time, 101.101, imgproc_time, 028.923, 
index, 0000000015, temp, 62.500, firstframe, 007.030, 16frames_time, 101.683, imgproc_time, 029.920, 
index, 0000000016, temp, 62.500, firstframe, 003.998, 16frames_time, 095.745, imgproc_time, 036.901, 
index, 0000000017, temp, 62.500, firstframe, 002.981, 16frames_time, 097.331, imgproc_time, 036.896, 
index, 0000000018, temp, 62.500, firstframe, 003.994, 16frames_time, 098.500, imgproc_time, 038.895, 
index, 0000000019, temp, 62.700, firstframe, 005.985, 16frames_time, 099.734, imgproc_time, 036.902, 
index, 0000000020, temp, 62.700, firstframe, 002.825, 16frames_time, 095.845, imgproc_time, 029.919, 
index, 0000000021, temp, 62.700, firstframe, 005.985, 16frames_time, 096.742, imgproc_time, 036.901, 
index, 0000000022, temp, 62.700, firstframe, 005.993, 16frames_time, 099.436, imgproc_time, 041.887, 
index, 0000000023, temp, 62.700, firstframe, 005.984, 16frames_time, 104.524, imgproc_time, 030.920, 
index, 0000000024, temp, 62.700, firstframe, 002.978, 16frames_time, 096.879, imgproc_time, 031.911, 
index, 0000000025, temp, 62.700, firstframe, 002.995, 16frames_time, 096.333, imgproc_time, 028.822, 
index, 0000000026, temp, 62.700, firstframe, 004.987, 16frames_time, 098.734, imgproc_time, 032.909, 
index, 0000000027, temp, 62.700, firstframe, 004.986, 16frames_time, 099.736, imgproc_time, 042.885, 
index, 0000000028, temp, 62.700, firstframe, 001.996, 16frames_time, 095.747, imgproc_time, 035.901, 
index, 0000000029, temp, 62.700, firstframe, 001.960, 16frames_time, 098.324, imgproc_time, 029.919, 
index, 0000000030, temp, 62.700, firstframe, 005.081, 16frames_time, 098.909, imgproc_time, 028.923, 
index, 0000000031, temp, 62.700, firstframe, 005.984, 16frames_time, 101.731, imgproc_time, 033.909, 
index, 0000000032, temp, 62.700, firstframe, 003.613, 16frames_time, 095.674, imgproc_time, 042.887, 
index, 0000000033, temp, 62.700, firstframe, 005.986, 16frames_time, 098.737, imgproc_time, 034.905, 
index, 0000000034, temp, 62.700, firstframe, 005.659, 16frames_time, 098.660, imgproc_time, 037.898, 
index, 0000000035, temp, 62.700, firstframe, 006.135, 16frames_time, 101.685, imgproc_time, 039.893, 
index, 0000000036, temp, 62.700, firstframe, 002.991, 16frames_time, 095.745, imgproc_time, 037.896, 
index, 0000000037, temp, 62.700, firstframe, 002.992, 16frames_time, 097.739, imgproc_time, 056.848, 
index, 0000000038, temp, 62.700, firstframe, 004.986, 16frames_time, 098.740, imgproc_time, 038.897, 
index, 0000000039, temp, 62.700, firstframe, 005.983, 16frames_time, 102.996, imgproc_time, 031.902, 
index, 0000000040, temp, 62.700, firstframe, 002.973, 16frames_time, 096.773, imgproc_time, 034.908, 
index, 0000000041, temp, 62.700, firstframe, 002.991, 16frames_time, 098.801, imgproc_time, 031.916, 
index, 0000000042, temp, 62.700, firstframe, 004.986, 16frames_time, 098.083, imgproc_time, 037.900, 
index, 0000000043, temp, 62.700, firstframe, 006.989, 16frames_time, 101.046, imgproc_time, 028.923, 
index, 0000000044, temp, 62.700, firstframe, 002.007, 16frames_time, 096.932, imgproc_time, 030.914, 
index, 0000000045, temp, 62.700, firstframe, 001.994, 16frames_time, 097.868, imgproc_time, 030.916, 
index, 0000000046, temp, 62.700, firstframe, 003.991, 16frames_time, 098.740, imgproc_time, 037.898, 
index, 0000000047, temp, 62.700, firstframe, 004.955, 16frames_time, 099.699, imgproc_time, 038.894, 
index, 0000000048, temp, 62.700, firstframe, 006.982, 16frames_time, 103.073, imgproc_time, 030.911, 
index, 0000000049, temp, 62.700, firstframe, 002.993, 16frames_time, 097.854, imgproc_time, 028.923, 
index, 0000000050, temp, 62.700, firstframe, 002.991, 16frames_time, 097.686, imgproc_time, 031.915, 
index, 0000000051, temp, 62.700, firstframe, 004.993, 16frames_time, 099.104, imgproc_time, 032.912, 
index, 0000000052, temp, 62.700, firstframe, 007.068, 16frames_time, 100.817, imgproc_time, 036.902, 
index, 0000000053, temp, 62.700, firstframe, 001.991, 16frames_time, 096.032, imgproc_time, 031.928, 
index, 0000000054, temp, 62.700, firstframe, 007.174, 16frames_time, 099.073, imgproc_time, 032.913, 
index, 0000000055, temp, 62.700, firstframe, 006.270, 16frames_time, 100.313, imgproc_time, 029.931, 
index, 0000000056, temp, 62.700, firstframe, 005.989, 16frames_time, 105.717, imgproc_time, 040.890, 
index, 0000000057, temp, 62.700, firstframe, 001.997, 16frames_time, 095.744, imgproc_time, 044.873, 
index, 0000000058, temp, 62.700, firstframe, 003.984, 16frames_time, 097.753, imgproc_time, 031.914, 
index, 0000000059, temp, 62.700, firstframe, 004.298, 16frames_time, 100.519, imgproc_time, 033.908, 
index, 0000000060, temp, 62.700, firstframe, 007.443, 16frames_time, 102.831, imgproc_time, 035.905, 
index, 0000000061, temp, 62.700, firstframe, 001.996, 16frames_time, 096.589, imgproc_time, 029.917, 
index, 0000000062, temp, 62.700, firstframe, 003.992, 16frames_time, 099.748, imgproc_time, 028.903, 
index, 0000000063, temp, 62.700, firstframe, 004.999, 16frames_time, 099.973, imgproc_time, 029.918, 
index, 0000000064, temp, 62.700, firstframe, 005.994, 16frames_time, 099.518, imgproc_time, 091.755, 
index, 0000000065, temp, 62.700, firstframe, 001.997, 16frames_time, 095.863, imgproc_time, 056.849, 
index, 0000000066, temp, 62.700, firstframe, 001.995, 16frames_time, 096.742, imgproc_time, 057.844, 
index, 0000000067, temp, 62.700, firstframe, 004.987, 16frames_time, 096.742, imgproc_time, 050.865, 
index, 0000000068, temp, 62.700, firstframe, 004.987, 16frames_time, 098.195, imgproc_time, 040.915, 
index, 0000000069, temp, 62.700, firstframe, 007.975, 16frames_time, 101.536, imgproc_time, 030.929, 
index, 0000000070, temp, 62.700, firstframe, 005.985, 16frames_time, 103.165, imgproc_time, 030.945, 
index, 0000000071, temp, 62.700, firstframe, 022.939, 16frames_time, 096.890, imgproc_time, 030.916, 
index, 0000000072, temp, 62.700, firstframe, 003.993, 16frames_time, 099.602, imgproc_time, 029.932, 
index, 0000000073, temp, 62.700, firstframe, 005.500, 16frames_time, 100.188, imgproc_time, 028.922, 
index, 0000000074, temp, 62.700, firstframe, 005.985, index, 0000000075, temp, 62.700, firstframe, 022.943, 16frames_time, 051.861, imgproc_time, 062.833, 
index, 0000000076, temp, 62.700, firstframe, 004.987, 16frames_time, 099.731, imgproc_time, 057.845, 
index, 0000000077, temp, 62.700, firstframe, 005.985, 16frames_time, 100.780, imgproc_time, 038.896, 
index, 0000000078, temp, 62.700, firstframe, 001.993, 16frames_time, 095.743, imgproc_time, 039.893, 
index, 0000000079, temp, 62.700, firstframe, 005.989, 16frames_time, 097.739, imgproc_time, 034.906, 
index, 0000000080, temp, 62.700, firstframe, 005.984, 16frames_time, 097.740, imgproc_time, 061.835, 
index, 0000000081, temp, 62.700, firstframe, 005.983, 16frames_time, 100.735, imgproc_time, 050.871, 
index, 0000000082, temp, 62.700, firstframe, 001.995, 16frames_time, 094.748, imgproc_time, 070.812, 
index, 0000000083, temp, 62.700, firstframe, 002.992, 16frames_time, 097.741, imgproc_time, 050.864, 
index, 0000000084, temp, 62.700, firstframe, 003.991, 16frames_time, 096.742, imgproc_time, 058.842, 
index, 0000000085, temp, 62.700, firstframe, 003.989, 16frames_time, 095.744, imgproc_time, 061.834, 
index, 0000000086, temp, 62.700, firstframe, 005.984, 16frames_time, 100.729, imgproc_time, 075.798, 
index, 0000000087, temp, 62.700, firstframe, 005.983, 16frames_time, 101.729, imgproc_time, 040.892, 
index, 0000000088, temp, 62.700, firstframe, 001.995, 16frames_time, 095.744, imgproc_time, 050.864, 
index, 0000000089, temp, 62.700, firstframe, 002.993, 16frames_time, 098.132, imgproc_time, 036.900, 
index, 0000000090, temp, 62.700, firstframe, 003.990, 16frames_time, 098.736, imgproc_time, 089.761, 
index, 0000000091, temp, 62.700, firstframe, 027.924, 16frames_time, 096.742, imgproc_time, 139.627, 
index, 0000000092, temp, 62.700, firstframe, 004.988, 16frames_time, 096.741, imgproc_time, 056.847, 
index, 0000000093, temp, 62.700, firstframe, 003.992, 16frames_time, 098.737, imgproc_time, 053.857, 
index, 0000000094, temp, 62.700, firstframe, 005.984, 16frames_time, 099.734, imgproc_time, 046.876, 
index, 0000000095, temp, 62.700, firstframe, 005.983, 16frames_time, 100.730, imgproc_time, 064.827, 
index, 0000000096, temp, 62.700, firstframe, 001.994, 16frames_time, 095.940, imgproc_time, 054.854, 
index, 0000000097, temp, 62.700, firstframe, 089.760, 16frames_time, 125.675, imgproc_time, 122.665, 
index, 0000000098, temp, 62.700, firstframe, 228.390, index, 0000000099, temp, 62.700, firstframe, 527.590, 16frames_time, 600.396, imgproc_time, 167.551, 
index, 0000000100, temp, 62.700, firstframe, 123.669, 16frames_time, 171.540, imgproc_time, 160.571, 
index, 0000000101, temp, 62.700, firstframe, 044.881, 16frames_time, 419.879, imgproc_time, 187.500, 
index, 0000000102, temp, 62.700, firstframe, 386.966, 16frames_time, 498.667, imgproc_time, 109.706, 
index, 0000000103, temp, 62.700, firstframe, 025.928, 16frames_time, 103.721, imgproc_time, 111.702, 
index, 0000000104, temp, 62.700, firstframe, 024.934, 16frames_time, 285.237, imgproc_time, 158.576, 
index, 0000000105, temp, 62.700, firstframe, 047.872, 16frames_time, 112.700, imgproc_time, 140.628, 
index, 0000000106, temp, 62.700, firstframe, 004.984, 16frames_time, 102.724, imgproc_time, 166.557, 
index, 0000000107, temp, 62.700, firstframe, 024.929, 16frames_time, 128.652, imgproc_time, 161.568, 
index, 0000000108, temp, 62.700, firstframe, 025.931, 16frames_time, 460.770, imgproc_time, 097.739, 
index, 0000000109, temp, 62.700, firstframe, 104.723, 16frames_time, 163.563, imgproc_time, 109.708, 
index, 0000000110, temp, 62.700, firstframe, 000.998, 16frames_time, 100.730, imgproc_time, 106.715, 
index, 0000000111, temp, 62.700, firstframe, 018.949, 16frames_time, 097.740, imgproc_time, 074.800, 
index, 0000000112, temp, 62.700, firstframe, 013.963, 16frames_time, 102.726, imgproc_time, 088.763, 
index, 0000000113, temp, 62.700, firstframe, 003.992, 16frames_time, 098.736, imgproc_time, 142.619, 
index, 0000000114, temp, 62.700, firstframe, 005.985, 16frames_time, 099.733, imgproc_time, 079.786, 
index, 0000000115, temp, 62.700, firstframe, 012.966, 16frames_time, 100.731, imgproc_time, 068.817, 
index, 0000000116, temp, 62.700, firstframe, 002.993, 16frames_time, 095.833, imgproc_time, 040.890, 
index, 0000000117, temp, 62.700, firstframe, 005.985, 16frames_time, 097.738, imgproc_time, 047.872, 
index, 0000000118, temp, 62.700, firstframe, 003.990, 16frames_time, 102.373, imgproc_time, 131.648, 
index, 0000000119, temp, 62.700, firstframe, 002.993, 16frames_time, 107.714, imgproc_time, 106.715, 
index, 0000000120, temp, 62.700, firstframe, 002.993, 16frames_time, 097.741, imgproc_time, 056.848, 
index, 0000000121, temp, 62.700, firstframe, 005.984, 16frames_time, 099.738, imgproc_time, 044.880, 
index, 0000000122, temp, 62.700, firstframe, 007.979, 16frames_time, 103.722, imgproc_time, 048.872, 
index, 0000000123, temp, 62.700, firstframe, 003.978, 16frames_time, 097.727, imgproc_time, 048.868, 
index, 0000000124, temp, 62.700, firstframe, 005.985, 16frames_time, 098.737, imgproc_time, 059.840, 
index, 0000000125, temp, 62.700, firstframe, 005.984, 16frames_time, 100.838, imgproc_time, 054.853, 
index, 0000000126, temp, 62.700, firstframe, 002.991, 16frames_time, 096.744, imgproc_time, 051.860, 
index, 0000000127, temp, 62.700, firstframe, 002.981, 16frames_time, 098.773, imgproc_time, 056.848, 
index, 0000000128, temp, 62.700, firstframe, 004.994, 16frames_time, 099.746, imgproc_time, 054.853, 
index, 0000000129, temp, 62.700, firstframe, 006.981, 16frames_time, 101.728, imgproc_time, 065.824, 
index, 0000000130, temp, 62.700, firstframe, 121.675, 16frames_time, 216.422, imgproc_time, 184.508, 
index, 0000000131, temp, 62.700, firstframe, 002.990, 16frames_time, 074.802, imgproc_time, 068.812, 
index, 0000000132, temp, 62.700, firstframe, 006.981, 16frames_time, 101.727, imgproc_time, 067.818, 
index, 0000000133, temp, 62.700, firstframe, 017.951, 16frames_time, 105.717, imgproc_time, 116.688, 
index, 0000000134, temp, 62.700, firstframe, 007.978, 16frames_time, 146.608, imgproc_time, 089.770, 
index, 0000000135, temp, 62.700, firstframe, 005.988, 16frames_time, 103.721, imgproc_time, 107.712, 
index, 0000000136, temp, 62.700, firstframe, 005.983, 16frames_time, 101.727, imgproc_time, 045.877, 
index, 0000000137, temp, 62.700, firstframe, 017.952, 16frames_time, 098.736, imgproc_time, 147.605, 
index, 0000000138, temp, 62.700, firstframe, 035.904, 16frames_time, 097.739, imgproc_time, 036.901, 
index, 0000000139, temp, 62.700, firstframe, 006.981, 16frames_time, 100.731, imgproc_time, 057.845, 
index, 0000000140, temp, 62.700, firstframe, 005.986, 16frames_time, 100.731, imgproc_time, 056.848, 
index, 0000000141, temp, 62.700, firstframe, 001.985, 16frames_time, 095.742, imgproc_time, 044.879, 
index, 0000000142, temp, 62.700, firstframe, 001.995, 16frames_time, 095.801, imgproc_time, 045.877, 
index, 0000000143, temp, 62.700, firstframe, 002.993, 16frames_time, 097.739, imgproc_time, 058.842, 
index, 0000000144, temp, 62.700, firstframe, 004.987, 16frames_time, 098.735, imgproc_time, 056.848, 
index, 0000000145, temp, 62.700, firstframe, 005.985, 16frames_time, 101.728, imgproc_time, 061.814, 
index, 0000000146, temp, 62.700, firstframe, 005.983, 16frames_time, 097.737, imgproc_time, 063.827, 
index, 0000000147, temp, 62.700, firstframe, 004.836, 16frames_time, 098.583, imgproc_time, 052.858, 
index, 0000000148, temp, 62.700, firstframe, 003.986, 16frames_time, 102.156, imgproc_time, 056.849, 
index, 0000000149, temp, 62.700, firstframe, 004.987, 16frames_time, 100.479, imgproc_time, 033.909, 
index, 0000000150, temp, 62.700, firstframe, 006.982, 16frames_time, 100.730, imgproc_time, 043.884, 
index, 0000000151, temp, 62.700, firstframe, 001.994, 16frames_time, 097.740, imgproc_time, 084.773, 
index, 0000000152, temp, 62.700, firstframe, 005.985, 16frames_time, 100.244, imgproc_time, 042.885, 
index, 0000000153, temp, 62.700, firstframe, 005.985, 16frames_time, 099.733, imgproc_time, 049.867, 
index, 0000000154, temp, 62.700, firstframe, 004.988, 16frames_time, 096.742, imgproc_time, 052.858, 
index, 0000000155, temp, 62.700, firstframe, 002.994, 16frames_time, 097.740, imgproc_time, 072.806, 
index, 0000000156, temp, 62.700, firstframe, 004.987, 16frames_time, 099.734, imgproc_time, 067.815, 
index, 0000000157, temp, 62.700, firstframe, 007.065, 16frames_time, 102.044, imgproc_time, 040.890, 
index, 0000000158, temp, 62.700, firstframe, 001.995, 16frames_time, 098.737, imgproc_time, 059.840, 
index, 0000000159, temp, 62.700, firstframe, 001.995, 16frames_time, 096.741, imgproc_time, 057.844, 
index, 0000000160, temp, 62.700, firstframe, 004.146, 16frames_time, 098.895, imgproc_time, 078.788, 
index, 0000000161, temp, 62.700, firstframe, 005.938, 16frames_time, 099.552, imgproc_time, 052.869, 
index, 0000000162, temp, 62.700, firstframe, 007.979, 16frames_time, 100.731, imgproc_time, 107.712, 
index, 0000000163, temp, 63.000, firstframe, 005.985, 16frames_time, 101.207, imgproc_time, 042.884, 
index, 0000000164, temp, 63.000, firstframe, 006.984, 16frames_time, 095.740, imgproc_time, 045.878, 
index, 0000000165, temp, 63.000, firstframe, 002.992, 16frames_time, 096.741, imgproc_time, 058.843, 
index, 0000000166, temp, 63.000, firstframe, 004.987, 16frames_time, 101.728, imgproc_time, 095.743, 
index, 0000000167, temp, 63.000, firstframe, 005.984, 16frames_time, 101.729, imgproc_time, 051.861, 
index, 0000000168, temp, 63.000, firstframe, 001.995, 16frames_time, 096.750, imgproc_time, 044.881, 
index, 0000000169, temp, 63.000, firstframe, 003.009, 16frames_time, 097.354, imgproc_time, 065.824, 
index, 0000000170, temp, 63.000, firstframe, 004.989, 16frames_time, 099.737, imgproc_time, 076.795, 
index, 0000000171, temp, 63.000, firstframe, 005.985, 16frames_time, 101.728, imgproc_time, 046.874, 
index, 0000000172, temp, 63.000, firstframe, 001.987, 16frames_time, 096.735, imgproc_time, 047.872, 
index, 0000000173, temp, 63.000, firstframe, 003.998, 16frames_time, 097.430, imgproc_time, 041.889, 
index, 0000000174, temp, 63.000, firstframe, 005.958, 16frames_time, 100.433, imgproc_time, 051.843, 
